"filename", "language", "JavaScript", "TypeScript", "HTML", "JSON with Comments", "Markdown", "JSON", "SCSS", "CSS", "Vue", "XML", "comment", "blank", "total"
"c:\Users\yzc\Desktop\showTheVibe\.eslintrc-auto-import-types.json", "JSON", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 9
"c:\Users\yzc\Desktop\showTheVibe\.eslintrc-auto-import.json", "JSON", 0, 0, 0, 0, 0, 92, 0, 0, 0, 0, 0, 0, 92
"c:\Users\yzc\Desktop\showTheVibe\.prettierrc.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\yzc\Desktop\showTheVibe\README.md", "Markdown", 0, 0, 0, 0, 183, 0, 0, 0, 0, 0, 0, 72, 255
"c:\Users\yzc\Desktop\showTheVibe\auto-imports.d.ts", "TypeScript", 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 70
"c:\Users\yzc\Desktop\showTheVibe\index.html", "HTML", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 3, 3, 25
"c:\Users\yzc\Desktop\showTheVibe\package-lock.json", "JSON", 0, 0, 0, 0, 0, 17668, 0, 0, 0, 0, 0, 1, 17669
"c:\Users\yzc\Desktop\showTheVibe\package.json", "JSON", 0, 0, 0, 0, 0, 104, 0, 0, 0, 0, 0, 1, 105
"c:\Users\yzc\Desktop\showTheVibe\src\@types\api.d.ts", "TypeScript", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 25
"c:\Users\yzc\Desktop\showTheVibe\src\@types\global.d.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\yzc\Desktop\showTheVibe\src\@types\store.d.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\yzc\Desktop\showTheVibe\src\App.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 2, 21
"c:\Users\yzc\Desktop\showTheVibe\src\auto-imports.d.ts", "TypeScript", 0, 91, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 93
"c:\Users\yzc\Desktop\showTheVibe\src\common\amap-wx.130.js", "JavaScript", 658, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 660
"c:\Users\yzc\Desktop\showTheVibe\src\components.d.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 20
